cliente_id,x,y,peso_kg,nombre,telefono,direccion
deposito,-77.0428,-12.0464,0,Deposito Central,,Cercado de Lima
LimaNorte-01,-77.100036,-11.808537,17,Cliente LimaNorte-01,956498698,"Puente Piedra, Lima"
LimaNorte-02,-77.066671,-11.887881,20,Cliente LimaNorte-02,932242151,"Puente Piedra, Lima"
LimaNorte-03,-77.061092,-11.998684,20,Cliente LimaNorte-03,928597223,"Independencia, Lima"
LimaNorte-04,-77.022113,-11.893553,21,Cliente LimaNorte-04,977484888,"Carabayllo, Lima"
LimaNorte-05,-77.059913,-11.942632,4,Cliente LimaNorte-05,949835141,"Puente Piedra, Lima"
LimaNorte-06,-77.063236,-11.959808,18,Cliente LimaNorte-06,946851949,"Los Olivos, Lima"
LimaNorte-07,-77.068197,-11.858275,14,Cliente LimaNorte-07,950503464,"Puente Piedra, Lima"
LimaNorte-08,-77.069527,-11.934107,3,Cliente LimaNorte-08,992966155,"Comas, Lima"
LimaNorte-09,-77.069179,-11.947903,22,Cliente LimaNorte-09,962994248,"Los Olivos, Lima"
LimaNorte-10,-77.054812,-11.972491,12,Cliente LimaNorte-10,970976923,"Independencia, Lima"
LimaNorte-11,-77.108023,-11.962086,23,Cliente LimaNorte-11,995664445,"San Martin De Porres, Lima"
LimaNorte-12,-77.060731,-11.954923,2,Cliente LimaNorte-12,945967493,"San Martin De Porres, Lima"
LimaNorte-13,-77.042372,-11.875294,13,Cliente LimaNorte-13,979417180,"Carabayllo, Lima"
LimaNorte-14,-77.044417,-11.994284,4,Cliente LimaNorte-14,973989356,"Independencia, Lima"
LimaNorte-15,-77.052911,-11.954252,2,Cliente LimaNorte-15,948857864,"San Martin De Porres, Lima"
LimaNorte-16,-76.983041,-11.790793,22,Cliente LimaNorte-16,930754651,"Carabayllo, Lima"
LimaNorte-17,-77.047881,-11.962681,11,Cliente LimaNorte-17,928715323,"Independencia, Lima"
LimaNorte-18,-77.07264,-11.852494,8,Cliente LimaNorte-18,934359153,"Puente Piedra, Lima"
LimaNorte-19,-77.064838,-11.994684,24,Cliente LimaNorte-19,997154987,"Los Olivos, Lima"
LimaNorte-20,-77.072207,-11.980652,21,Cliente LimaNorte-20,945354503,"Los Olivos, Lima"
LimaNorte-21,-77.052464,-11.978934,9,Cliente LimaNorte-21,995387738,"Independencia, Lima"
LimaNorte-22,-77.078394,-11.922462,10,Cliente LimaNorte-22,945002233,"Los Olivos, Lima"
LimaNorte-23,-77.057401,-12.018725,8,Cliente LimaNorte-23,922349453,"San Martin De Porres, Lima"
LimaNorte-24,-77.080945,-11.87552,10,Cliente LimaNorte-24,959574966,"Puente Piedra, Lima"
LimaNorte-25,-77.076233,-11.980786,5,Cliente LimaNorte-25,965543453,"Los Olivos, Lima"
LimaNorte-26,-77.078395,-11.98123,24,Cliente LimaNorte-26,967850827,"Los Olivos, Lima"
LimaNorte-27,-77.056399,-11.915272,5,Cliente LimaNorte-27,937128694,"Comas, Lima"
LimaNorte-28,-77.060576,-12.012857,20,Cliente LimaNorte-28,942344834,"Independencia, Lima"
LimaNorte-29,-77.04051,-11.992421,7,Cliente LimaNorte-29,912105020,"Independencia, Lima"
LimaNorte-30,-77.066721,-11.93535,15,Cliente LimaNorte-30,936125197,"Los Olivos, Lima"
LimaNorte-31,-77.046322,-11.990317,2,Cliente LimaNorte-31,992653644,"Independencia, Lima"
LimaNorte-32,-77.051505,-11.910011,10,Cliente LimaNorte-32,947701434,"Comas, Lima"
LimaNorte-33,-77.050831,-11.993326,16,Cliente LimaNorte-33,942578534,"Independencia, Lima"
LimaNorte-34,-77.044724,-11.990122,3,Cliente LimaNorte-34,917512950,"Independencia, Lima"
LimaNorte-35,-77.069062,-11.86168,8,Cliente LimaNorte-35,915026703,"Carabayllo, Lima"
LimaNorte-36,-76.994447,-11.909597,14,Cliente LimaNorte-36,983011112,"Comas, Lima"
LimaNorte-37,-77.080651,-11.868364,7,Cliente LimaNorte-37,940274302,"Puente Piedra, Lima"
LimaNorte-38,-77.077444,-12.014985,14,Cliente LimaNorte-38,928966220,"San Martin De Porres, Lima"
LimaNorte-39,-77.055152,-11.831977,22,Cliente LimaNorte-39,992393600,"Carabayllo, Lima"
LimaNorte-40,-77.063658,-11.935005,14,Cliente LimaNorte-40,924333072,"Comas, Lima"
LimaNorte-41,-77.063986,-11.978545,24,Cliente LimaNorte-41,949315255,"Independencia, Lima"
LimaNorte-42,-77.047933,-11.902501,15,Cliente LimaNorte-42,965716184,"Comas, Lima"
LimaNorte-43,-77.059492,-12.016475,17,Cliente LimaNorte-43,966332337,"Independencia, Lima"
LimaNorte-44,-77.076845,-11.960878,13,Cliente LimaNorte-44,976545900,"Los Olivos, Lima"
LimaNorte-45,-77.053484,-12.012933,3,Cliente LimaNorte-45,913798304,"Independencia, Lima"
LimaNorte-46,-77.057574,-11.887688,22,Cliente LimaNorte-46,981931103,"Carabayllo, Lima"
LimaNorte-47,-77.063525,-11.954617,19,Cliente LimaNorte-47,999605364,"Comas, Lima"
LimaNorte-48,-77.0555,-12.020003,17,Cliente LimaNorte-48,955890772,"San Martin De Porres, Lima"
LimaNorte-49,-77.079819,-11.990658,24,Cliente LimaNorte-49,913947685,"Los Olivos, Lima"
LimaNorte-50,-77.078093,-11.916443,14,Cliente LimaNorte-50,950400886,"Puente Piedra, Lima"
LimaNorte-51,-77.010803,-11.906473,2,Cliente LimaNorte-51,953780757,"Comas, Lima"
LimaNorte-52,-77.0702,-11.994672,19,Cliente LimaNorte-52,936121980,"Los Olivos, Lima"
LimaNorte-53,-77.065639,-11.903245,19,Cliente LimaNorte-53,944972296,"Comas, Lima"
LimaNorte-54,-77.071648,-11.947814,24,Cliente LimaNorte-54,991171216,"Puente Piedra, Lima"
LimaNorte-55,-76.990467,-11.839776,6,Cliente LimaNorte-55,982162000,"Carabayllo, Lima"
LimaNorte-56,-77.060034,-11.933613,3,Cliente LimaNorte-56,981611847,"Puente Piedra, Lima"
LimaNorte-57,-77.087114,-11.998788,19,Cliente LimaNorte-57,995723238,"San Martin De Porres, Lima"
LimaNorte-58,-77.028437,-11.850066,25,Cliente LimaNorte-58,978771454,"Carabayllo, Lima"
LimaNorte-59,-77.113903,-11.949025,15,Cliente LimaNorte-59,912989040,"Puente Piedra, Lima"
LimaNorte-60,-77.063573,-11.962289,17,Cliente LimaNorte-60,982878772,"Independencia, Lima"
LimaNorte-61,-77.046429,-11.926142,10,Cliente LimaNorte-61,967168831,"Comas, Lima"
LimaNorte-62,-77.035036,-11.858644,16,Cliente LimaNorte-62,932609486,"Carabayllo, Lima"
LimaNorte-63,-77.064658,-11.994923,11,Cliente LimaNorte-63,924902350,"Independencia, Lima"
LimaNorte-64,-77.067878,-11.965463,25,Cliente LimaNorte-64,988015097,"Los Olivos, Lima"
LimaNorte-65,-77.048679,-12.002462,3,Cliente LimaNorte-65,995739588,"San Martin De Porres, Lima"
LimaNorte-66,-77.097044,-11.868634,12,Cliente LimaNorte-66,963347360,"Puente Piedra, Lima"
LimaNorte-67,-77.103801,-11.974041,10,Cliente LimaNorte-67,960549416,"San Martin De Porres, Lima"
LimaNorte-68,-77.062275,-11.916041,11,Cliente LimaNorte-68,943957349,"Comas, Lima"
LimaNorte-69,-77.055329,-12.023303,22,Cliente LimaNorte-69,973603391,"San Martin De Porres, Lima"
