cliente_id,x,y,peso_kg,nombre,telefono,direccion
depot,-77.0350,-12.0464,0,Almacen Central,,"Av. Abancay 456, Cercado de Lima"
LimaEste-01,-76.97747,-12.06218,17.0,Lucia Ramos,981924865,"Jr. Las Begonias 1597, Lima Este, casa celeste"
LimaEste-02,-76.92768,-12.05675,4.0,Ricardo Diaz,919375836,"Calle Las Palmeras 471, Lima Este, esquina"
LimaEste-03,-76.99998,-12.02694,23.8,Veronica Campos,918302983,"Jr. Grau 2498, Lima Este, esquina"
LimaEste-04,-77.00078,-12.05621,14.8,Ana Torres,948870700,"Av. Prceres 690, Lima Este, porton verde"
LimaEste-05,-76.95647,-12.02738,17.7,Carlos Medina,988061052,"Jr. Grau 2716, Lima Este, dpto 502"
LimaEste-06,-76.97335,-12.02844,3.4,Jorge Quispe,993082061,"Calle Las Palmeras 2133, Lima Este, esquina"
LimaEste-07,-76.93894,-12.03542,23.2,Jose Chavez,950234045,"Calle Las Palmeras 3353, Lima Este, frente al parque"
LimaEste-08,-76.94559,-12.05425,15.2,Gabriela Nunez,976453392,"Jr. Tacna 3087, Lima Este, segundo piso"
LimaEste-09,-76.98053,-11.99169,4.7,Ricardo Diaz,932140838,"Jr. Tacna 722, Lima Este, segundo piso"
LimaEste-10,-76.96916,-11.99323,3.8,Diego Salazar,986910239,"Jr. Tacna 1493, Lima Este, con reja negra"
LimaEste-11,-76.95448,-12.02571,12.5,Lucia Ramos,946230636,"Calle Los Cipreses 2955, Lima Este, porton verde"
LimaEste-12,-76.99984,-12.01537,16.9,Sofia Herrera,948197765,"Calle Las Orqudeas 1680, Lima Este, con reja negra"
LimaEste-13,-77.00308,-12.03576,5.9,Carlos Medina,976262352,"Av. Los Alamos 993, Lima Este, al lado de la bodega"
LimaEste-14,-76.99401,-12.05395,11.0,Fernando Rios,920815439,"Av. Aviacion 1939, Lima Este, esquina"
LimaEste-15,-76.9583,-11.99991,20.8,Diego Salazar,947369042,"Calle Las Orqudeas 1801, Lima Este, con reja negra"
LimaEste-16,-76.94697,-12.04266,7.3,Lucia Ramos,933651543,"Av. Aviacion 1050, Lima Este, dpto 502"
